name	symbol_id	start_number
Index	01-01-001-01	0x10000
Index on Circle	01-01-002-01	0x10100
Index on Cup	01-01-003-01	0x10200
Index on Oval	01-01-004-01	0x10300
Index on Hinge	01-01-005-01	0x10400
Index on Angle	01-01-006-01	0x10500
Index Bent	01-01-007-01	0x10600
Index Bent on Circle	01-01-008-01	0x10700
Index Bent on Fist Thumb Under	01-01-009-01	0x10800
Index Raised Knuckle	01-01-010-01	0x10900
Index Cup	01-01-011-01	0x10a00
Index Hinge on Fist	01-01-012-01	0x10b00
Index Hinge on Fist Low	01-01-013-01	0x10c00
Index Hinge on Circle	01-01-014-01	0x10d00
Index Middle	01-02-001-01	0x10e00
Index Middle on Circle	01-02-002-01	0x10f00
Index Middle Bent	01-02-003-01	0x11000
Index Middle Raised Knuckles	01-02-004-01	0x11100
Index Middle Hinge	01-02-005-01	0x11200
Index Up, Middle Hinge	01-02-006-01	0x11300
Index Hinge, Middle Up	01-02-007-01	0x11400
Index Middle Unit	01-02-008-01	0x11500
Index Middle Unit, Index Bent	01-02-009-01	0x11600
Index Middle Unit, Middle Bent	01-02-010-01	0x11700
Index Middle Unit, Cup	01-02-011-01	0x11800
Index Middle Unit, Hinge	01-02-012-01	0x11900
Index Middle Cross	01-02-013-01	0x11a00
Index Middle Cross on Circle	01-02-014-01	0x11b00
Middle Bent Over Index	01-02-015-01	0x11c00
Index Bent Over Middle	01-02-016-01	0x11d00
Index Middle Thumb	01-03-001-01	0x11e00
Index Middle Thumb on Circle	01-03-002-01	0x11f00
Index Middle Straight, Thumb Bent	01-03-003-01	0x12000
Index Middle Bent, Thumb Straight	01-03-004-01	0x12100
Index Middle Thumb Bent	01-03-005-01	0x12200
Index Middle Hinge Spread, Thumb Side	01-03-006-01	0x12300
Index Up, Middle Hinge, Thumb Side	01-03-007-01	0x12400
Index Up, Middle Hinge, Thumb Unit	01-03-008-01	0x12500
Index Hinge, Middle Up, Thumb Side	01-03-009-01	0x12600
Index Middle Up Spread, Thumb Forward	01-03-010-01	0x12700
Index Middle Thumb Cup	01-03-011-01	0x12800
Index Middle Thumb Circle	01-03-012-01	0x12900
Index Middle Thumb Hook	01-03-013-01	0x12a00
Index Middle Thumb Hinge	01-03-014-01	0x12b00
Thumb Between Index Middle Straight	01-03-015-01	0x12c00
Index Middle Unit, Thumb Side	01-03-016-01	0x12d00
Index Middle Unit, Thumb Side Unit	01-03-017-01	0x12e00
Index Middle Unit, Thumb Side Bent	01-03-018-01	0x12f00
Middle Thumb Hook, Index Up	01-03-019-01	0x13000
Index Thumb Hook, Middle Up	01-03-020-01	0x13100
Index Middle Unit Hinge, Thumb Side	01-03-021-01	0x13200
Index Middle Cross, Thumb Side	01-03-022-01	0x13300
Index Middle Unit, Thumb Forward	01-03-023-01	0x13400
Index Middle Unit Cup, Thumb Forward	01-03-024-01	0x13500
Middle Thumb Cup, Index Up	01-03-025-01	0x13600
Index Thumb Cup, Middle Up	01-03-026-01	0x13700
Middle Thumb Circle, Index Up	01-03-027-01	0x13800
Middle Thumb Circle, Index Hinge	01-03-028-01	0x13900
Index Thumb Angle Out, Middle Up	01-03-029-01	0x13a00
Index Thumb Angle In, Middle Up	01-03-030-01	0x13b00
Index Thumb Circle, Middle Up	01-03-031-01	0x13c00
Index Middle Thumb, Unit Hinge	01-03-032-01	0x13d00
Index Middle Thumb, Angle Out	01-03-033-01	0x13e00
Index Middle Thumb, Angle	01-03-034-01	0x13f00
Middle Thumb Angle Out, Index Up	01-03-035-01	0x14000
Middle Thumb Angle Out, Index Crossed	01-03-036-01	0x14100
Middle Thumb Angle, Index Up	01-03-037-01	0x14200
Index Thumb Hook, Middle Hinge	01-03-038-01	0x14300
Four Fingers	01-04-001-01	0x14400
Four Fingers Bent	01-04-002-01	0x14500
Four Fingers Hinge	01-04-003-01	0x14600
Four Fingers Unit	01-04-004-01	0x14700
Four Fingers Unit Split	01-04-005-01	0x14800
Four Fingers Unit Claw	01-04-006-01	0x14900
Four Fingers Unit Bent	01-04-007-01	0x14a00
Four Fingers Unit Hinge	01-04-008-01	0x14b00
Five Fingers Spread	01-05-001-01	0x14c00
Five Fingers Spread Heel	01-05-002-01	0x14d00
Five Fingers Spread, Four Bent	01-05-003-01	0x14e00
Five Fingers Spread, Four Bent Heel	01-05-004-01	0x14f00
Five Fingers Spread Bent	01-05-005-01	0x15000
Five Fingers Spread Bent Heel	01-05-006-01	0x15100
